,source,target,training_set_size,records in dataset,experiment_id,accuracy,cohen_kappa,f1,f1_macro,balanced_accuracy
0,mesa,cap,212,106,mesa_to_cap,0.687897608215506,0.5834459003066211,0.6954684111757352,0.6331707964610523,0.6447226702096818
1,cap,mass,106,115,cap_to_mass,0.6442365066449688,0.5101738362729249,0.640001659985057,0.5866865491313337,0.6326665091715004
2,dodh,dodo,25,56,dodh_to_dodo,0.8219274129564367,0.7486106214175297,0.8280646419729595,0.7713281767859844,0.8145209403708857
3,sleep_edf,mros,197,586,sleep_edf_to_mros,0.6958451996500944,0.554468613186762,0.726412980892402,0.5845028031628262,0.6560527957115279
4,dodo,mesa,56,2053,dodo_to_mesa,0.7519073885481421,0.6468219517381832,0.7516767317477585,0.650163690618228,0.6751811502629701
5,mros,dodo,250,56,mros_to_dodo,0.8099894828127018,0.724469886362302,0.8145684703204864,0.7442727444876313,0.7557015843794052
6,shhs,mros,250,586,shhs_to_mros,0.859250684574117,0.7693844810084739,0.8625664021550283,0.7132423202964239,0.7526141108218527
7,dodo,cap,212,106,dodo_to_cap,0.6960998999490307,0.5885924371053393,0.6938841616047281,0.631821763580036,0.6330886031655678
8,cap,dodh,106,25,cap_to_dodh,0.7238666774795232,0.6184149182131358,0.7275658947573779,0.6796255845488496,0.7009413152817067
9,dodh,mros,25,586,dodh_to_mros,0.590961210024489,0.43046728129349743,0.6334120782064961,0.4796270202950684,0.617410459774045
10,mass,cap,212,106,mass_to_cap,0.6372869197515716,0.5189012212865265,0.6466431116150831,0.5866983942792559,0.6056056389814344
11,dodh,shhs,25,2651,dodh_to_shhs,0.678812039531155,0.5682082967678483,0.687880243253065,0.6068579248661431,0.6763909125333686
12,cap,mesa,106,2053,cap_to_mesa,0.638159905748048,0.5103500479572605,0.6521370098450229,0.5333905469962631,0.6380914007717007
13,shhs,mass,250,112,shhs_to_mass,0.8172569496060651,0.7414484397788567,0.8080345983305546,0.7609032045473757,0.7749935455698601
14,mros,shhs,250,2651,mros_to_shhs,0.8480245589675369,0.7832911108494218,0.8519529193003683,0.7503448775560735,0.7698667446544285
15,mros,cap,212,106,mros_to_cap,0.6513223717743001,0.5277813629717216,0.6404080484026723,0.5784797065272981,0.587157002291551
16,dodh,sleep_edf,25,197,dodh_to_sleep_edf,0.7055582890714036,0.604080948945963,0.700838296293649,0.652196980843482,0.6846506437472574
17,mass,mesa,112,2053,mass_to_mesa,0.7266228739165096,0.6221169433967217,0.7364236402262225,0.6587036057466467,0.7114160268299994
18,shhs,sleep_edf,250,197,shhs_to_sleep_edf,0.8128761212671738,0.7434401532796735,0.7981465340207999,0.7336198172290767,0.7466720771693874
19,cap,mros,106,586,cap_to_mros,0.6020020915410975,0.43752157807099457,0.6548798496183058,0.4761912201578163,0.5963008673379881
20,mesa,shhs,250,2651,mesa_to_shhs,0.8343531109692758,0.7691520794960878,0.8487440538272917,0.7476829983489941,0.7958963141228055
21,shhs,mesa,250,2053,shhs_to_mesa,0.8298434305498594,0.7517825673924594,0.824338136374898,0.7244454879777081,0.7375498122912602
22,sleep_edf,cap,212,106,sleep_edf_to_cap,0.6235629471617616,0.5027967881482429,0.6323935247408403,0.5866248001038196,0.6251834550780854
23,sleep_edf,shhs,197,2651,sleep_edf_to_shhs,0.725391094763352,0.6241801200109713,0.7478182299395906,0.6221211684465031,0.6914803221708946
24,shhs,dodh,250,25,shhs_to_dodh,0.8633119779417727,0.8048258893912529,0.8612995509282284,0.8129709799405573,0.8204226798435474
25,sleep_edf,dodo,197,56,sleep_edf_to_dodo,0.7751720574939572,0.6836618913222974,0.7970654461766631,0.7206057230812218,0.7684760135412956
26,cap,sleep_edf,106,197,cap_to_sleep_edf,0.6870586948933719,0.5899262477861127,0.6868255428262872,0.6266327265137418,0.687792476738111
27,mass,sleep_edf,112,197,mass_to_sleep_edf,0.7438148947175858,0.656745467136679,0.74686971451583,0.696210040857075,0.7141715241167704
28,dodh,cap,212,106,dodh_to_cap,0.678883582202254,0.5672806185665686,0.6807234101623666,0.6171339427810525,0.6195672449298437
29,mass,mros,112,586,mass_to_mros,0.6701196826294662,0.519373715117027,0.7013305522898778,0.5527474463667787,0.6627019964142576
30,dodo,mass,56,112,dodo_to_mass,0.8097127248401962,0.7264943970720472,0.8019764872972768,0.7524723987860522,0.7495773997265424
31,mesa,dodh,250,25,mesa_to_dodh,0.8646500689319601,0.8069890385523482,0.8673880099392796,0.8256114878839291,0.8461609237620186
32,dodo,shhs,56,2651,dodo_to_shhs,0.7652638708055871,0.6716848644975203,0.7699771485165968,0.6621066417660685,0.6938241871817494
33,mesa,mass,250,112,mesa_to_mass,0.8166530399881077,0.7446765242426499,0.8192205776443159,0.7839733921833113,0.8004084897719826
34,mesa,mros,250,586,mesa_to_mros,0.8394095452323167,0.7427046660566043,0.8537565103989995,0.705513224491483,0.765030366086974
35,dodh,mesa,25,2053,dodh_to_mesa,0.6522020795028117,0.5259763431575335,0.6580219208858997,0.5884695048143647,0.6666023844403259
36,mesa,dodo,250,56,mesa_to_dodo,0.8295477609461779,0.7618033894836564,0.8418877297820558,0.7850855285099898,0.8429794416801821
37,mass,shhs,112,2651,mass_to_shhs,0.7073990527093601,0.5988294331530224,0.7258734025035757,0.6294709974986408,0.6942116920646809
38,mros,mass,250,112,mros_to_mass,0.8017968633863535,0.7156332907601343,0.7946738080754271,0.7445599746067992,0.7384404883566403
39,mass,dodh,112,25,mass_to_dodh,0.8596626388776255,0.8002344868361513,0.8645530049550083,0.8185074197709421,0.8417019372807759
40,mros,mesa,250,2053,mros_to_mesa,0.8330395640079199,0.7554589194136714,0.8306483205359034,0.7300930742070932,0.7247167698170718
41,shhs,dodo,250,56,shhs_to_dodo,0.8430724947875343,0.7778721407027456,0.8455535987956754,0.7880159391955821,0.8210301424237413
42,sleep_edf,mass,197,112,sleep_edf_to_mass,0.7664727961944403,0.6692603724631896,0.7704681337376359,0.7129852788351205,0.7110410990296158
43,mesa,sleep_edf,250,197,mesa_to_sleep_edf,0.7991160230288197,0.72910529235344,0.7964650206907163,0.7423006153753849,0.7634023940619501
44,sleep_edf,mesa,197,2053,sleep_edf_to_mesa,0.7396389670993716,0.6374535109251644,0.7526308578595904,0.6474652697153769,0.6839886532063549
45,dodo,dodh,56,25,dodo_to_dodh,0.8834238910064066,0.8298030993254502,0.8820732804128973,0.844159456863407,0.8346537351570424
46,cap,shhs,106,2651,cap_to_shhs,0.6785238950713771,0.5704370763069844,0.7004319619109199,0.5851815158615248,0.6441177308508774
47,dodh,mass,25,112,dodh_to_mass,0.7781050245280214,0.6893856101043518,0.7765244484628198,0.7309530102523526,0.749678516926084
48,mass,dodo,112,56,mass_to_dodo,0.8148421499344982,0.7398374509349201,0.8307328248350814,0.7664734037571398,0.8157731281679055
49,dodo,sleep_edf,56,197,dodo_to_sleep_edf,0.7924336281325041,0.7162895782121375,0.7816056244045487,0.717878450064845,0.7316827511876832
50,mros,sleep_edf,250,197,mros_to_sleep_edf,0.8144321225960831,0.7425624803950659,0.8014108591966912,0.7335596973293932,0.7205665777554506
51,cap,dodo,106,56,cap_to_dodo,0.6762920456851855,0.5597975917988252,0.6916598513616513,0.6310799696903936,0.6839921884605915
52,dodo,mros,56,586,dodo_to_mros,0.7058907356129815,0.5658661773007052,0.7387116647184016,0.5594935201987583,0.6340894118130949
53,shhs,cap,212,106,shhs_to_cap,0.7076152001963264,0.6036128223892363,0.7009560769460416,0.635609897246683,0.635954400904729
54,sleep_edf,dodh,197,25,sleep_edf_to_dodh,0.8277511961722488,0.7541119320251647,0.8351353655603072,0.7759148036967582,0.7993748353212002
55,mros,dodh,250,25,mros_to_dodh,0.8155461844132674,0.7325302088327322,0.814653527447918,0.7587444830371914,0.7602442272692226
